Stock,Date,Close,S_EMA1,S_EMA2,C_EMA1,C_EMA2,S_RSI_P,S_RSI_L_R,C_RSI_V,P_Pos,C_Pos
MAHMAH,2000-03-06,50.31,64,180,,,7,18,,No Prev Data,B_N_Y
MAHMAH,2000-03-07,46.29,64,180,,,7,18,0.0,No Prev Data,S
MAHMAH,2000-03-08,43.76,64,180,,,7,18,0.0,No Prev Data,S
MAHMAH,2000-03-09,40.26,64,180,,,7,18,0.0,No Prev Data,S
MAHMAH,2000-03-10,43.48,64,180,,,7,18,30.34781031725531,No Prev Data,S
MAHMAH,2000-03-13,46.96,64,180,,,7,18,49.624000381564095,No Prev Data,S
MAHMAH,2000-03-14,48.43,64,180,,,7,18,55.670011295792506,No Prev Data,S
MAHMAH,2000-03-15,44.56,64,180,,,7,18,40.67584675839092,No Prev Data,S
MAHMAH,2000-03-16,40.99,64,180,,,7,18,31.534813804452313,No Prev Data,S
MAHMAH,2000-03-21,43.81,64,180,,,7,18,43.28140418063666,No Prev Data,S
MAHMAH,2000-03-22,46.15,64,180,,,7,18,51.3602114539304,No Prev Data,S
MAHMAH,2000-03-23,42.46,64,180,,,7,18,40.69596006574536,No Prev Data,S
MAHMAH,2000-03-24,41.28,64,180,,,7,18,37.77009634164194,No Prev Data,S
MAHMAH,2000-03-27,42.46,64,180,,,7,18,42.5858936026745,No Prev Data,S
MAHMAH,2000-03-28,43.61,64,180,,,7,18,47.22918059352531,No Prev Data,S
MAHMAH,2000-03-29,43.93,64,180,,,7,18,48.57921412318418,No Prev Data,S
MAHMAH,2000-03-30,40.71,64,180,,,7,18,37.35904971209559,No Prev Data,S
MAHMAH,2000-03-31,39.73,64,180,,,7,18,34.52745979152388,No Prev Data,S
MAHMAH,2000-04-03,36.59,64,180,,,7,18,26.904688807348833,No Prev Data,S
MAHMAH,2000-04-04,37.09,64,180,,,7,18,29.784527819159507,No Prev Data,S
MAHMAH,2000-04-05,39.44,64,180,,,7,18,42.25865658424032,No Prev Data,S
MAHMAH,2000-04-06,39.3,64,180,,,7,18,41.74322577790179,No Prev Data,S
MAHMAH,2000-04-07,42.44,64,180,,,7,18,55.837844940115,No Prev Data,S
MAHMAH,2000-04-10,44.39,64,180,,,7,18,62.42448081530986,No Prev Data,S
MAHMAH,2000-04-11,43.56,64,180,,,7,18,58.119921591704006,No Prev Data,S
MAHMAH,2000-04-12,40.36,64,180,,,7,18,44.360773765227634,No Prev Data,S
MAHMAH,2000-04-13,38.51,64,180,,,7,18,38.252786375014395,No Prev Data,S
MAHMAH,2000-04-17,35.48,64,180,,,7,18,30.28490405997111,No Prev Data,S
